seg_count,atl07_dt,h_surf,w_gauss,fpb_corr,atl07_h,atl07_w,atl07_fpb
32537,38060912.522016115,0.06989946765787725,0.08199999779462815,0.019760909025000002,0.06682164,0.08499999,0.019747239
32538,38060912.52325593,0.0629800075620075,0.07999999821186066,0.017459702310000002,0.062989905,0.078999996,0.017447624
32539,38060912.5243849,0.05661596756813214,0.08399999737739564,0.01710209373,0.056630436,0.083,0.017090263
32540,38060912.525548786,0.046489144736899135,0.08599999696016311,0.018183891599999998,0.04307017,0.083,0.018171312
32541,38060912.52662514,0.04308000554051983,0.0949999950826168,0.017820094034999998,0.043094836,0.094,0.017807767
32542,38060912.52775048,0.05336710859742766,0.09299999549984932,0.017820094034999998,0.05336847,0.09199999,0.017807767
32543,38060912.52878943,0.056049467498434424,0.09399999529123307,0.018183891599999998,0.055063166,0.09199999,0.018171312
32544,38060912.529838145,0.06054687332590536,0.0949999950826168,0.019676336085,0.060553122,0.094,0.019662723
32545,38060912.53089139,0.05326897701218414,0.09799999743700027,0.022271625195,0.049883813,0.096999995,0.0217762
32546,38060912.53184464,0.06309639827570024,0.10399999842047691,0.02179127394,0.06311833,0.103,0.0217762
32547,38060912.532853045,0.039169958591464216,0.09599999710917473,0.01936699377,0.03932971,0.09199999,0.017447624
32548,38060912.534112625,0.0047362760053326625,0.08399999737739564,0.018976712565,0.0054161106,0.088999994,0.018963585
32549,38060912.53508107,0.017904880162592285,0.10299999825656414,0.023574292394999998,0.020352604,0.099999994,0.022195179
32550,38060912.535924725,0.03770874108569622,0.12399999648332596,0.027052279529999997,0.03971076,0.122999996,0.026056482
32551,38060912.53681785,0.06144194369417111,0.16599999517202377,0.021679940175000002,0.05498882,0.168,0.023071926
32552,38060912.53811801,0.05242606133741834,0.10299999825656414,0.01829518869,0.05244418,0.102,0.018282533
32553,38060912.53941154,0.06285747763154159,0.09199999570846558,0.01710209373,0.058133025,0.092999995,0.017090263
32554,38060912.54039702,0.05459324550112221,0.11099999584257603,0.019676336085,0.054615863,0.11,0.019662723
32555,38060912.54160826,0.04904179920138496,0.09899999760091305,0.016049445675,0.04905528,0.098,0.016038343
32556,38060912.54294971,0.05799804784352869,0.08599999696016311,0.013518229424999998,0.05201514,0.088999994,0.013508878
32557,38060912.54394145,0.06423408823646426,0.0969999972730875,0.018183891599999998,0.062751554,0.096999995,0.018171312
32558,38060912.54495548,0.08311063374019945,0.09299999549984932,0.018183891599999998,0.0831192,0.09199999,0.018171312
32559,38060912.5461861,0.13212673316141554,0.08199999779462815,0.0141156495885,0.13212717,0.081,0.014105884
32560,38060912.547363445,0.1245313664982648,0.07599999904632568,0.015344314454999999,0.12453836,0.074,0.015333699
32561,38060912.548423596,0.08560710049843845,0.09099999591708183,0.020840309339999998,0.094469175,0.083,0.020046094
32562,38060912.549213246,0.06267044179125936,0.09499999694526196,0.0237202584,0.06268781,0.094,0.023703849
32563,38060912.55002711,0.05870593805748925,0.11099999584257603,0.023293679385,0.05907273,0.107999995,0.024572723
